"中国电信集团有限公司","china telecommunications","9"
"苏黎世保险集团","zurich insurance group","9"
"英杰华集团","aviva","9"
"百事公司","pepsico","9"
"第一生命控股有限公司","dai-ichi life holdings","9"
"英特尔公司","intel","9"
"陶氏杜邦公司","dowdupont","9"
"信实工业公司","reliance industries","9"
"中国中信集团有限公司","citic group","9"
"equinor公司","statoil","9"
"法国bpce银行集团","groupe bpce","9"
"adm公司","archer daniels midland","9"
"联合利华集团","unilever","9"
"安泰保险","aetna","9"
"联邦快递","fedex","9"
"欧尚集团","auchan holding","9"
"艾伯森公司","albertsons cos.","9"
"沃达丰集团","vodafone group","9"
"联合技术公司","united technologies","9"
"保德信金融集团","prudential financial","9"
"中国航空工业集团有限公司","aviation industry corp. of china","9"
"中国宝武钢铁集团有限公司","china baowu steel group","9"
"泰国国家石油有限公司","ptt","9"
"西班牙电话公司","TELEFÓNICA","9"
"丰田通商公司","toyota tsusho","9"
"巴西布拉德斯科银行","banco bradesco","9"
"中国化工集团有限公司","chemchina","9"
"交通银行股份有限公司","bank of communications,bcmxy,bank of communications co.,ltd","9"
"瑞士罗氏公司","roche group","9"
"百威英博","anheuser-busch inbev","9"
"荷兰国际集团","ing group","9"
"英国法通保险公司","legal & general group","9"
"路易达孚集团","louis dreyfus","9"
"西斯科公司","sysco","9"
"巴西银行","banco do brasil","9"
"华特迪士尼公司","walt disney","9"
"三菱日联金融集团","mitsubishi ufj financial group","9"
"lg电子","lg electronics","9"
"seven & i 控股公司","seven & i holdings","9"
"美洲电信","AMÉRICA MÓVIL","9"
"京东集团","","9"
"中国电力建设集团有限公司","powerchina","9"
"哈门那公司","humana","9"
"韩国浦项制铁公司","posco","9"
"山东魏桥创业集团有限公司","shandong weiqiao pioneering group","9"
"东京电力公司","tokyo electric power","9"
"辉瑞制药有限公司","pfizer","9"
"韩国电力公司","korea electric power","9"
"英国劳埃德银行集团","lloyds banking group","9"
"惠普公司","hp","9"
"马来西亚国家石油公司","petronas","9"
"日本三井住友金融集团","sumitomo mitsui financial group","9"
"拜耳集团","bayer","9"
"中国医药集团有限公司","sinopharm","9"
"西农","wesfarmers","9"
"finatis公司","finatis","9"
"印度石油天然气公司","oil & natural gas","9"
"新日铁住金","nippon steel & sumitomo metal","9"
"巴西jbs公司","jbs","9"
"洛克希德－马丁","lockheed martin","9"
"法国国家人寿保险公司","cnp assurances","9"
"广州汽车工业集团有限公司","guangzhou automobile industry group","9"
"诺华公司","novartis","9"
"日本伊藤忠商事株式会社","itochu","9"
"俄罗斯联邦储蓄银行","sberbank","9"
