"教育史","50248","7"
"比较教育学","50249","7"
"学前教育学","50250","7"
"高等教育学","50251","7"
"成人教育学","50252","7"
"职业技术教育学","50253","7"
"特殊教育学","50254","7"
"社会体育","50302","7"
"体育管理与经营","50303","7"
"体育及康乐管理","50304","7"
"体育教育","50305","7"
"体育装备工程","50306","7"
"运动人体科学","50307","7"
"运动训练","50308","7"
"运动康复与健康","50309","7"
"体育人文社会学","50310","7"
"体育教育训练学","50312","7"
"民族传统体育学","50313","7"
"战略学类","60100","7"
"军事战略学","60101","7"
"战争动员学","60102","7"
"战役学类","60200","7"
"联合战役学","60201","7"
"军种战役学","60202","7"
"军队政治工作学类","60300","7"
"军制学类","60400","7"
"军事组织编制学","60401","7"
"军队管理学","60402","7"
"军事后勤学与军事装备学类","60500","7"
"军事后勤学","60501","7"
"后方勤务","60502","7"
"军事装备学","60503","7"
"战术学类","60600","7"
"合同战术学","60601","7"
"兵种战术学","60602","7"
"军事思想及军事历史类","60700","7"
"军事思想","60701","7"
"军事历史","60702","7"
"军队指挥学类","60800","7"
"作战指挥学","60801","7"
"军事运筹学","60802","7"
"军事通信学","60803","7"
"军事情报学","60804","7"
"密码学","60805","7"
"军事教育训练学","60806","7"
"经济学","70000","7"
"理论经济学类","70100","7"
"政治经济学","70101","7"
"经济思想史","70102","7"
"经济史","70103","7"
"西方经济学","70104","7"
"世界经济","70105","7"
"人口、资源与环境经济学","70106","7"
"应用经济学类","70200","7"
"国民经济学","70201","7"
"区域经济学","70202","7"
"财政学","70203","7"
"金融学","70204","7"
"产业经济学","70205","7"
"国际贸易学","70206","7"
"劳动经济学","70207","7"
"统计学","70208","7"
"数量经济学","70209","7"
"国防经济","70210","7"
"国际经济与贸易","70301","7"
"贸易经济","70302","7"
"信用管理","70303","7"
"市场营销","70304","7"
"市场开发与营销","70305","7"
"税务","70306","7"
"物流管理","70307","7"
"体育经济","70308","7"
"投资学","70310","7"
"网络经济学","70311","7"
"应用气象学","70312","7"
"营销学","70313","7"
"医药营销","70314","7"
"汽车技术服务与营销","70316","7"
